domain_url,reported_on,threat_category,remarks
quicktatkal.in,29/10/2025,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.nexgenirctc.co.in,29/10/2025,Typosquatted Domain,Takedown request initiated; under review by registrar/hosting provider.
https://tatkalsoftware.org/,29/10/2025,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.tatkalsoftwareindian.in/,29/10/2025,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://tatkalsoftwarefast.com,14/11/2025,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
ircts.co.in,14/11/2025,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://play.google.com/store/apps/details?id=in.railscape.android,23/12/2025,Fake Mobile App,Takedown request initiated; under review.
https://www.railrestro.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.railmitra.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.travelkhana.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.foodontrack.in/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://www.ecatering.app/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://dibrail.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://trainmenu.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://trainscafe.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://travelerfood.com/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://trainway.in/,13/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
nuxt-irctc.pages.dev,27/01/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://railmeal.co/,02/02/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
https://RAILFOOD.net/,02/02/2026,Phishing Website,Takedown request initiated; under review by registrar/hosting provider.
