domain_url,reported_on,last_updated,threat_category,remarks
irctchr.co.in,17/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctc.heliyatra.org,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctc.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctcco.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
ircfc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
urctc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irvtc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctx.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctv.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
ircrc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
rctc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
ircc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
ircrtc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
ircte.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
irctcc.co.in,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
tatkalsoftwares.buzz,14/11/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
https://tatkalsoftware.club/,29/10/2025,12/12/2025,Phishing Website,Domain or app has been successfully removed.
https://irctc-clone-react.vercel.app/,29/10/2025,29/10/2025,Fake Mobile App,Domain or app has been successfully removed.
https://bookingpawanhans-irctc.in/,29/10/2025,3/11/2025,Typosquatted Domain,Domain or app has been successfully removed.
inquirymores.com,14/11/2025,18/12/2025,Phishing Website,Domain or app has been successfully removed.
irtcc.co.in,14/11/2025,20/12/2025,Phishing Website,Domain or app has been successfully removed.
https://tatkalsoftwaremaster.in/,29/10/2025,20/12/2025,Phishing Website,Domain or app has been successfully removed.
irctcinfo.com,16/12/2025,20/12/2025,Phishing Website,Domain or app has been successfully removed.
https://irctc-booking.pages.dev/,29/10/2025,20/12/2025,Typosquatted Domain,Domain or app has been successfully removed.
https://irctc-booking-ui-prod.pages.dev/,29/10/2025,20/12/2025,Typosquatted Domain,Domain or app has been successfully removed.
itctc.co.in,14/11/2025,22/12/2025,Phishing Website,Domain or app has been successfully removed.
irctclogin.co.in,19/12/2025,23/12/2025,Phishing Website,Domain or app has been successfully removed.
rictic.co.in,14/11/2025,23/12/2025,Phishing Website,Domain or app has been successfully removed.
irctcc.com,16/12/2025,29/12/2025,Phishing Website,Domain or app has been successfully removed.
irctct.com,6/1/2026,10/01/2026,Phishing Website,Domain or app has been successfully removed.
https://khanaonline.in/,13/01/2026,13/01/2026,Phishing Website,Domain or app has been successfully removed.
https://www.tatkalsoftwares.com/,29/10/2025,13/01/2026,Phishing Website,Domain or app has been successfully removed.
railirctc.net,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctcrail.com,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
railirctc.com,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctcrail.biz,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctcrail.travel,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctctrains.tours,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctctrains.biz,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
railirctc.biz,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctc.travel,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
railirctc.tours,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctctrains.org,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctc.tours,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctcrail.tours,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctctrains.info,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
irctc.help,16/01/2026,25/01/2026,Phishing Website,Domain or app has been successfully removed.
https://railmeal.co/,13/01/2026,13/01/2026,Phishing Website,Domain or app has been successfully removed.
https://RAILFOOD.net/,13/01/2026,13/01/2026,Phishing Website,Domain or app has been successfully removed.
irctc.online,27/01/2026,04/02/2026,Phishing Website,Domain or app has been successfully removed.
irctchr.com,27/01/2026,04/02/2026,Phishing Website,Domain or app has been successfully removed.
irtctc.co.in,14/11/2025,05/02/2026,Phishing Website,Domain or app has been successfully removed.
