domain_url,reported_on,threat_category,remarks
irct.co.in,14/11/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
ctc.co.in,14/11/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctc-gov.co,17/12/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctcclone.com,19/12/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
https://Tathub.com,22/12/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
abhimanyuirctc-org.com,19/12/2025,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctccoin.net,6/01/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
https://Comesum.com/,15/01/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
ecateringirctc.com,27/01/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
railwaysirctc.com,27/01/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctc.info,27/01/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctct.com,04/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
rictic.co.in,04/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
https://irctc-booking-ui-prod.pages.dev/,04/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
https://irctc-booking.pages.dev/,04/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctcinfo.com,04/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
irctc.co.com,05/02/2026,Phishing Website,Domain not hosting active content; may display lander/parking/sale page.
